service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
50696,0,0,0,0,0,1,0,20210901,20220901
50697,0,0,0,0,0,0,1,20210901,20220901
46720,1,1,1,1,1,0,0,20210201,20220901
49801,1,1,1,1,1,0,0,20210601,20220901
49865,0,0,0,0,0,1,0,20210601,20220901
49874,0,0,0,0,0,0,1,20210601,20220901
47119,1,1,1,1,1,0,0,20210901,20220901
48611,0,0,0,0,0,1,0,20210809,20220901
49795,0,0,0,0,0,0,1,20210809,20220901
50700,1,1,1,1,1,0,0,20210901,20220901
51361,0,0,0,0,0,1,0,20210901,20220901
51363,0,0,0,0,0,0,1,20210901,20220901
47388,1,1,1,1,1,0,0,20210901,20220901
47132,0,0,0,0,0,1,0,20210201,20220901
47154,0,0,0,0,0,0,1,20210201,20220901
47164,1,1,1,1,1,0,0,20210901,20220901
50393,1,1,1,1,1,0,0,20210714,20210919
50395,0,0,0,0,0,1,0,20210714,20210919
47381,1,1,1,1,1,0,0,20210901,20220901
47357,0,0,0,0,0,1,0,20210417,20220901
47362,0,0,0,0,0,0,1,20210417,20220901
43115,1,1,1,1,1,0,0,20210901,20220901
45773,1,1,1,1,1,0,0,20210901,20220901
45774,1,1,1,1,1,0,0,20210901,20220901
45772,1,1,1,1,1,0,0,20210901,20220901
48764,0,0,0,0,0,1,0,20210901,20220901
48765,0,0,0,0,0,0,1,20210901,20220901
49324,1,1,1,1,1,0,0,20210901,20220901
51228,1,1,1,1,1,0,0,20210901,20220901
43552,0,0,0,0,0,1,0,20200901,20220901
44550,0,0,0,0,0,0,1,20200901,20220901
51290,1,1,1,1,1,0,0,20210901,20220901
50345,0,0,0,0,0,1,0,20210901,20220901
51674,0,0,0,0,0,0,1,20210901,20220901
41628,1,1,1,1,1,0,0,20200601,20220901
51510,1,1,1,1,1,0,0,20210901,20210919
50401,0,0,0,0,0,1,0,20210714,20210919
50404,0,0,0,0,0,0,1,20210714,20210919
46025,1,1,1,1,1,0,0,20201101,20220901
