stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
134773,5701054-1,"Laimi",,59.22155,23.67992,,,,3294
134774,5701055-1,"Laimi",,59.22143,23.67969,,,,4545
9495,5700265-1,"Nõva",,59.22309,23.68909,,,,9495
9496,5700266-1,"Nõva",,59.22284,23.68963,,,,9496
9493,5700453-1,"Vaisi",,59.21335,23.71257,,,,9493
9494,5700454-1,"Vaisi",,59.21334,23.71180,,,,9494
25469,5700338-1,"Risti",,58.99870,24.05880,,,,25469
25470,5700337-1,"Risti",,58.99850,24.05886,,,,25470
4854,22723-1,"Rehemäe",,59.00036,24.10741,,,,4854
4855,22724-1,"Rehemäe",,59.00035,24.10791,,,,4855
4852,22725-1,"Riiaküla",,59.02844,24.15262,,,,4852
4853,22726-1,"Riiaküla",,59.02854,24.15305,,,,4853
145110,5901176-1,"Eha",,59.57479,25.95053,,,,6052
145111,5901177-1,"Eha",,59.57463,25.95166,,,,6053
30125,5900072-1,"Eru",,59.56391,25.86621,,,,30125
80813,5900073-1,"Eru",,59.56398,25.86604,,,,6032
25206,5900333-1,"Käsmu",,59.60121,25.91901,,,,25206
32260,5900366-1,"Lepispea",,59.57554,25.93692,,,,32260
80809,5900365-1,"Lepispea",,59.57561,25.93691,,,,6029
32591,5900926-1,"Vergi tee",,59.57641,25.97017,,,,32591
80804,5900925-1,"Vergi tee",,59.57670,25.97047,,,,6027
26582,5900990-1,"Võsu",,59.57620,25.96038,,,,26582
80807,5900989-1,"Võsu",,59.57630,25.96034,,,,6028
9970,7000008-1,"Aespa",,59.20773,24.65694,,,,9970
14583,7000007-1,"Aespa",,59.20765,24.65691,,,,14583
14056,7000050-1,"Entusiasti",,59.20568,24.63658,,,,14056
14052,7000072-1,"Ikaruse",,59.21655,24.66445,,,,14052
9916,7000123-1,"Kaiu",,59.01342,25.05550,,,,9916
9913,7000146-1,"Kasvandu",,59.02364,25.04367,,,,9913
9914,7000147-1,"Kasvandu",,59.02346,25.04426,,,,9914
28683,7000187-1,"Kohila",,59.16758,24.76006,,,,28683
9911,7000204-1,"Kolgu",,59.04187,25.03130,,,,9911
9912,7000203-1,"Kolgu",,59.04209,25.03129,,,,9912
13352,7000214-1,"Kuimetsa rahvamaja",,59.04466,25.11669,,,,13352
147122,7000745-1,"Rõõsapõllu",,59.07366,25.16233,,,,6176
147244,7000746-1,"Rõõsapõllu",,59.07320,25.16236,,,,6182
152263,7000821-1,"Tammelehe",,59.20681,24.64697,,,,6379
152264,7000822-1,"Tammelehe",,59.20689,24.64669,,,,6380
28161,7000559-1,"Urge",,59.18221,24.78307,,,,28161
30263,7000561-1,"Urge",,59.18258,24.78297,,,,30263
147121,7000747-1,"Vanakõrtsu",,59.08543,25.17661,,,,6175
9905,7000213-1,"Kuimetsa rahvamaja",,59.04611,25.11600,,,,9905
9899,7000256-1,"Küüni",,59.07927,25.16644,,,,9899
9900,7000257-1,"Küüni",,59.07954,25.16697,,,,9900
9907,7000264-1,"Lagevainu",,59.04074,25.08825,,,,9907
9908,7000265-1,"Lagevainu",,59.04061,25.08858,,,,9908
9903,7000562-1,"Urke",,59.05669,25.13782,,,,9903
9904,7000563-1,"Urke",,59.05662,25.13826,,,,9904
147245,7000748-1,"Vanakõrtsu",,59.08497,25.17610,,,,6183
9901,7000604-1,"Vaopere",,59.06705,25.15475,,,,9901
9902,7000603-1,"Vaopere",,59.06709,25.15528,,,,9902
9909,7000633-1,"Villema",,59.03764,25.07113,,,,9909
9910,7000634-1,"Villema",,59.03751,25.07126,,,,9910
9969,7000205-1,"Ikaruse",,59.21661,24.66420,,,,9969
9938,7000383-1,"Suvila",,59.20925,24.66294,,,,9938
9939,7000384-1,"Suvila",,59.20959,24.66299,,,,9939
10832,21310-1,"Aegviidu",,59.28543,25.61281,,,,10832
10833,21309-1,"Aegviidu",,59.28518,25.61308,,,,10833
12127,37401-1,"Härmakosu",,59.39317,25.44423,,,,12127
11700,37007-1,"Pillapalu küla",,59.34224,25.57333,,,,11700
10844,37905-1,"Kehra",,59.33722,25.33406,,,,10844
10845,37904-1,"Kehra",,59.33676,25.33521,,,,10845
10840,37204-1,"Lahinguvälja",,59.31434,25.41092,,,,10840
10841,37203-1,"Lahinguvälja",,59.31447,25.41022,,,,10841
10834,37102-1,"Mustjõe",,59.29824,25.46511,,,,10834
10835,37101-1,"Mustjõe",,59.29835,25.46441,,,,10835
10849,38202-1,"Parila",,59.35681,25.26728,,,,10849
10850,38201-1,"Parila",,59.35698,25.26617,,,,10850
