route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,block_code,vehicle_type
tallinna-lin_bus_1A,50696,1,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,2,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,3,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,4,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,5,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,6,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,7,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,8,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,9,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,10,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,11,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,12,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,13,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,14,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,15,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,16,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,17,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,18,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,19,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,20,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,21,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,22,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,23,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,24,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,25,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,26,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,27,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,28,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,29,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,30,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,31,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,32,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,33,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,34,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,35,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,36,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,37,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,38,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,39,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,40,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,41,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,42,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,43,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,44,"Viimsi keskus",0,175387,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50696,45,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,46,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,47,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,48,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,49,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,50,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,51,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,52,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,53,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,54,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,55,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,56,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,57,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,58,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,59,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,60,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,61,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,62,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,63,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,64,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,65,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,66,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,67,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,68,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,69,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,70,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,71,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,72,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,73,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,74,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,75,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,76,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,77,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,78,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,79,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,80,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,81,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,82,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,83,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,84,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,85,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,86,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,87,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
